x,y,z,s
63.22,0.0,0.0,65.2
63.32,0.0,0.0,65.3
63.42,0.0,0.0,65.4
63.52,0.0,0.0,65.5
63.62,0.0,0.0,65.6
63.72,0.0,0.0,65.7
63.82,0.0,0.0,65.8
63.92,0.0,0.0,65.9
64.02,0.0,0.0,66.0
64.12,0.0,0.0,66.1
64.22,0.0,0.0,66.2
64.32,0.0,0.0,66.3
64.42,0.0,0.0,66.4
64.52,0.0,0.0,66.5
64.62,0.0,0.0,66.6
64.72,0.0,0.0,66.7
64.82,0.0,0.0,66.8
64.92,0.0,0.0,66.9
65.02,0.0,0.0,67.0
65.12,0.0,0.0,67.1
65.22,0.0,0.0,67.2
65.32,0.0,0.0,67.3
65.42,0.0,0.0,67.4
65.52,0.0,0.0,67.5
65.62,0.0,0.0,67.6
65.72,0.0,0.0,67.7
65.82,0.0,0.0,67.8
65.92,0.0,0.0,67.9
66.02,0.0,0.0,68.0
66.12,0.0,0.0,68.1
66.22,0.0,0.0,68.2
66.32,0.0,0.0,68.3
66.42,0.0,0.0,68.4
66.52,0.0,0.0,68.5
66.62,0.0,0.0,68.6
66.72,0.0,0.0,68.7
66.82,0.0,0.0,68.8
66.92,0.0,0.0,68.9
67.02,0.0,0.0,69.0
67.12,0.0,0.0,69.1
67.22,0.0,0.0,69.2
67.32,0.0,0.0,69.3
67.42,0.0,0.0,69.4
67.52,0.0,0.0,69.5
67.62,0.0,0.0,69.6
67.72,0.0,0.0,69.7
67.82,0.0,0.0,69.8
67.92,0.0,0.0,69.9
68.02,0.0,0.0,70.0
68.12,0.0,0.0,70.1
68.22,0.0,0.0,70.2
68.32,0.0,0.0,70.3
68.42,0.0,0.0,70.4
68.52,0.0,0.0,70.5
68.62,0.0,0.0,70.6
68.72,0.0,0.0,70.7
68.82,0.0,0.0,70.8
68.92,0.0,0.0,70.9
69.02,0.0,0.0,71.0
69.12,0.0,0.0,71.1
69.22,0.0,0.0,71.2
69.32,0.0,0.0,71.3
69.42,0.0,0.0,71.4
69.52,0.0,0.0,71.5
69.62,0.0,0.0,71.6
69.72,0.0,0.0,71.7
69.82,0.0,0.0,71.8
69.92,0.0,0.0,71.9
70.02,0.0,0.0,72.0
70.12,0.0,0.0,72.1
70.22,0.0,0.0,72.2
70.32,0.0,0.0,72.3
70.42,0.0,0.0,72.4
70.52,0.0,0.0,72.5
70.62,0.0,0.0,72.6
